BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.8000    
Mole fraction O2                          0.2000    
 
 
E/N (Td)    	Electric field / N (Td)                                         
1906.	1906.
1912.	1912.
1918.	1918.
1924.	1924.
1930.	1930.
1936.	1936.
1942.	1942.
1948.	1948.
1954.	1954.
1960.	1960.
1966.	1966.
1972.	1972.
1978.	1978.
1984.	1984.
1990.	1990.
1996.	1996.
2002.	2002.
2008.	2008.
2014.	2014.
2020.	2020.
2026.	2026.
2032.	2032.
2038.	2038.
2044.	2044.
2050.	2050.
2056.	2056.
2062.	2062.
2068.	2068.
2074.	2074.
2080.	2080.
2086.	2086.
2092.	2092.
2098.	2098.
2105.	2105.
2111.	2111.
2117.	2117.
2123.	2123.
2129.	2129.
2135.	2135.
2141.	2141.
2147.	2147.
2153.	2153.
2159.	2159.
2165.	2165.
2171.	2171.
2177.	2177.
2183.	2183.
2189.	2189.
2195.	2195.
2201.	2201.
2207.	2207.
2213.	2213.
2219.	2219.
2225.	2225.
2231.	2231.
2237.	2237.
2243.	2243.
2249.	2249.
2255.	2255.
2261.	2261.
2267.	2267.
2273.	2273.
2279.	2279.
2285.	2285.
2291.	2291.
2297.	2297.
2303.	2303.
2309.	2309.
2315.	2315.
2321.	2321.
2327.	2327.
2333.	2333.
2339.	2339.
2345.	2345.
2351.	2351.
2357.	2357.
2363.	2363.
2369.	2369.
2375.	2375.
2381.	2381.
2387.	2387.
2393.	2393.
2399.	2399.
2405.	2405.
2411.	2411.
2417.	2417.
2423.	2423.
2429.	2429.
2435.	2435.
2441.	2441.
2447.	2447.
2453.	2453.
2459.	2459.
2465.	2465.
2471.	2471.
2477.	2477.
2483.	2483.
2489.	2489.
2495.	2495.
2501.	2501.
2507.	2507.
2513.	2513.
2519.	2519.
2525.	2525.
2531.	2531.
2537.	2537.
2543.	2543.
2549.	2549.
2555.	2555.
2561.	2561.
2567.	2567.
2573.	2573.
2579.	2579.
2585.	2585.
2591.	2591.
2597.	2597.
2603.	2603.
2609.	2609.
2615.	2615.
2621.	2621.
2627.	2627.
2633.	2633.
2639.	2639.
2645.	2645.
2651.	2651.
2657.	2657.
2663.	2663.
2669.	2669.
2675.	2675.
2681.	2681.
2687.	2687.
2693.	2693.
2699.	2699.
2706.	2706.
2712.	2712.
2718.	2718.
2724.	2724.
2730.	2730.
2736.	2736.
2742.	2742.
2748.	2748.
2754.	2754.
2760.	2760.
2766.	2766.
2772.	2772.
2778.	2778.
2784.	2784.
2790.	2790.
2796.	2796.
2802.	2802.
2808.	2808.
2814.	2814.
2820.	2820.
2826.	2826.
2832.	2832.
2838.	2838.
2844.	2844.
2850.	2850.
2856.	2856.
2862.	2862.
2868.	2868.
2874.	2874.
2880.	2880.
2886.	2886.
2892.	2892.
2898.	2898.
2904.	2904.
2910.	2910.
2916.	2916.
2922.	2922.
2928.	2928.
2934.	2934.
2940.	2940.
2946.	2946.
2952.	2952.
2958.	2958.
2964.	2964.
2970.	2970.
2976.	2976.
2982.	2982.
2988.	2988.
2994.	2994.
3000.	3000.
 
 
E/N (Td)    	Grid type                                                       
1.000	0.000
7.010	3.000
13.02	3.000
19.03	3.000
25.04	3.000
31.05	3.000
37.06	3.000
43.07	3.000
49.08	3.000
55.09	3.000
61.10	3.000
67.11	3.000
73.12	3.000
79.13	3.000
85.14	3.000
91.15	3.000
97.16	3.000
103.2	3.000
109.2	3.000
115.2	3.000
121.2	3.000
127.2	3.000
133.2	3.000
139.2	3.000
145.2	3.000
151.3	3.000
157.3	3.000
163.3	3.000
169.3	3.000
175.3	3.000
181.3	3.000
187.3	3.000
193.3	3.000
199.3	3.000
205.3	3.000
211.4	3.000
217.4	3.000
223.4	3.000
229.4	3.000
235.4	3.000
241.4	3.000
247.4	3.000
253.4	3.000
259.4	3.000
265.4	3.000
271.5	3.000
277.5	3.000
283.5	3.000
289.5	3.000
295.5	3.000
301.5	3.000
307.5	3.000
313.5	3.000
319.5	3.000
325.5	3.000
331.6	3.000
337.6	3.000
343.6	3.000
349.6	3.000
355.6	3.000
361.6	3.000
367.6	3.000
373.6	3.000
379.6	3.000
385.6	3.000
391.7	3.000
397.7	3.000
403.7	3.000
409.7	3.000
415.7	3.000
421.7	3.000
