# cells	Linf error	L1 error	L2 error
32	0.00495165	0.00338487	0.00351545
64	0.00121662	0.000767791	0.00079768
128	0.000376703	0.000194211	0.000202543
256	9.47742e-05	4.76815e-05	4.97723e-05
512	3.78866e-05	1.20811e-05	1.27461e-05
