# z [m]         rho [kg/m^3]    T [K]           p [Pa]
7.6000000E+04	2.3730000E-05	2.1700000E+02	1.4778936E+00
7.7000000E+04	2.0430000E-05	2.1610000E+02	1.2670940E+00
7.8000000E+04	1.7580000E-05	2.1500000E+02	1.0847834E+00
7.9000000E+04	1.5130000E-05	2.1390000E+02	9.2882822E-01
8.0000000E+04	1.3010000E-05	2.1270000E+02	7.9420109E-01
8.1000000E+04	1.1180000E-05	2.1140000E+02	6.7831665E-01
8.2000000E+04	9.6050000E-06	2.1000000E+02	5.7889841E-01
8.3000000E+04	8.2450000E-06	2.0860000E+02	4.9361762E-01
8.4000000E+04	7.0720000E-06	2.0710000E+02	4.2034709E-01
8.5000000E+04	6.0620000E-06	2.0560000E+02	3.5770477E-01
8.6000000E+04	5.1910000E-06	2.0400000E+02	3.0392532E-01
8.7000000E+04	4.4410000E-06	2.0240000E+02	2.5797461E-01
8.8000000E+04	3.7960000E-06	2.0070000E+02	2.1865493E-01
8.9000000E+04	3.2420000E-06	1.9900000E+02	1.8516196E-01
9.0000000E+04	2.7660000E-06	1.9730000E+02	1.5662639E-01
9.1000000E+04	2.3570000E-06	1.9550000E+02	1.3224889E-01
9.2000000E+04	2.0060000E-06	1.9380000E+02	1.1157590E-01
9.3000000E+04	1.7050000E-06	1.9210000E+02	9.4002075E-02
9.4000000E+04	1.4460000E-06	1.9060000E+02	7.9100072E-02
9.5000000E+04	1.2240000E-06	1.8920000E+02	6.6464270E-02
9.6000000E+04	1.0350000E-06	1.8810000E+02	5.5874653E-02
9.7000000E+04	8.7270000E-07	1.8710000E+02	4.6862392E-02
9.8000000E+04	7.3450000E-07	1.8650000E+02	3.9314823E-02
9.9000000E+04	6.1700000E-07	1.8620000E+02	3.2972398E-02
1.0000000E+05	5.1730000E-07	1.8630000E+02	2.7659290E-02
1.0100000E+05	4.3300000E-07	1.8680000E+02	2.3214026E-02
1.0200000E+05	3.6190000E-07	1.8770000E+02	1.9495687E-02
1.0300000E+05	3.0210000E-07	1.8910000E+02	1.6395624E-02
1.0400000E+05	2.5200000E-07	1.9110000E+02	1.3821237E-02
1.0500000E+05	2.1000000E-07	1.9350000E+02	1.1662347E-02
1.0600000E+05	1.7510000E-07	1.9660000E+02	9.8799637E-03
1.0700000E+05	1.4590000E-07	2.0040000E+02	8.3914826E-03
1.0800000E+05	1.2170000E-07	2.0490000E+02	7.1567892E-03
