# Transport data with three-body reactions for N2/O2 mixtures (80% N2, 20% O2)
# 
# Column 1:  Electric field (E/N)
# Column 2:  Electron temperature (eV)
# Column 3:  Electron mobility (mu*N) 
# Column 4:  Electron diffusion (D*N) 
# Column 5:  Rate for e + N2 ->[k1] e + N2+
# Column 6:  Rate for e + O2 ->[k2] e + O2+
# Column 7:  Rate for e + O2 ->[k3] O- + O
# Column 8:  Rate for e + O2 ->[k4] O2-(exc)
# Column 9:  Rate for O2-(exc) ->[k5] e + O2
# Column 10: Rate for O2-(exc) + O2 ->[k6] O2- + O2
# Column 11: Rate for e + N2 ->[k7] e + N2(1PN2)
# Column 12: Three-body rate k4*k6/k5
# 
# With the exception of k5, all rates are given in m^3/s, i.e. they must be multiplied by the concentration of the neutral on the left-hand side of the reaction.
# Note that k4 was reverse engineered from Kossyi et. al (eq. 45), and depends on the electron temperature.
# In this data the temperature was computed using 80% N2 and 20%O2
# 
1.063370128676243098e+01 9.516030756578539584e-01 1.982694122484675610e+24 1.874177375193486496e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.239825123144576087e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.239825123144576355e-43
1.069923932077971962e+01 9.527758615297423628e-01 1.978209941209808506e+24 1.874522312214630202e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.231759871213284743e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.231759871213284959e-43
1.076518128131205820e+01 9.539558755603210205e-01 1.973698122857596179e+24 1.874869375164800236e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.223662927438488435e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.223662927438489015e-43
1.083152965785478195e+01 9.550852393546039876e-01 1.969508220528713131e+24 1.875415296578547958e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.215930401653034503e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.215930401653034308e-43
1.089828695524656155e+01 9.561867347615682355e-01 1.965502782685206356e+24 1.876082869552465664e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.208404528160991773e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.208404528160991903e-43
1.096545569376400131e+01 9.572950189471060023e-01 1.961472658374160133e+24 1.876754556937640213e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.200848011726626038e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.200848011726626985e-43
1.103303840921676660e+01 9.583886145474682650e-01 1.957417695446994193e+24 1.877215192046083842e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.193407074099034719e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.193407074099035270e-43
1.110103765304332057e+01 9.594766024486931499e-01 1.953337740817400810e+24 1.877555188265216601e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.186019453474936555e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.186019453474936313e-43
1.116945599240725429e+01 9.605712958785160849e-01 1.949232640455564849e+24 1.877897279962036354e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.178601517341367229e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.178601517341367876e-43
1.123829601029418335e+01 9.616359392044827592e-01 1.945240227983189562e+24 1.878229981001400917e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.171401804689067757e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.171401804689069114e-43
1.130756030560929659e+01 9.626913951330939856e-01 1.941282268250897375e+24 1.878559810979092134e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.164278386893983322e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.164278386893984499e-43
1.137725149327544827e+01 9.637533560880068295e-01 1.937299914669974513e+24 1.878891673777502350e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.157125257501411463e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.157125257501412368e-43
1.144737220433188618e+01 9.648342691671442095e-01 1.933394528761746416e+24 1.879236861021659383e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.149859046130477204e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.149859046130476973e-43
1.151792508603358201e+01 9.659278388335205134e-01 1.929514120268153205e+24 1.879589625430167783e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.142522672020866481e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.142522672020866789e-43
1.158891280195115669e+01 9.670281484302428732e-01 1.925609795892686363e+24 1.879944564009755776e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.135156180491319925e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.135156180491319910e-43
1.166033803207146846e+01 9.680227913464291012e-01 1.921708834614283707e+24 1.880274263782142939e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.128510114127647176e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.128510114127647202e-43
1.173220347289876564e+01 9.690027746304377132e-01 1.917788901478249129e+24 1.880600924876812375e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.121974034737103145e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.121974034737103817e-43
1.180451183755649502e+01 9.699887977848612453e-01 1.913844808860555052e+24 1.880929599261620327e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.115409693602228609e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.115409693602228664e-43
1.187726585588973727e+01 9.710180836555676320e-01 1.910000359929585271e+24 1.881272694551855751e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.108570163932614709e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.108570163932615099e-43
1.195046827456823557e+01 9.720638324938318808e-01 1.906165947522616436e+24 1.881621277497943778e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.101634620852839073e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.101634620852840057e-43
1.202412185719013671e+01 9.731160265312875923e-01 1.902307902718612032e+24 1.881972008843762507e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.094669906069461970e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.094669906069462107e-43
1.209822938438629336e+01 9.741304006961767348e-01 1.898588530780685285e+24 1.882310133565392138e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.087968382913044661e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.087968382913044976e-43
1.217279365392524504e+01 9.751471861898897142e-01 1.894860317303737646e+24 1.882649062063296395e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.081263556234990716e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.081263556234990924e-43
1.224781748081885802e+01 9.761702383748025458e-01 1.891109125959057031e+24 1.882990079458267604e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.074530129470062327e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.074530129470063509e-43
1.232330369742856213e+01 9.770286504926706250e-01 1.887494170992546874e+24 1.883318711727950175e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.068890135616792628e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.068890135616793721e-43
1.239925515357232833e+01 9.778872321708176329e-01 1.883861710046540589e+24 1.883648935450314554e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.063257969157620627e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.063257969157621756e-43
1.247567471663222705e+01 9.787511054923643261e-01 1.880206861378458676e+24 1.883981194420140085e+24 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.057600094131115736e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.057600094131116835e-43
1.255256527166268476e+01 9.797465035434262948e-01 1.876844988188578722e+24 1.883999999999999975e+24 0.000000000000000000e+00 0.000000000000000000e+00 1.344350532846510329e-29 7.051091978358924793e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.051091978358924649e-43
1.262992972149941728e+01 9.807556050630358291e-01 1.873481316456547096e+24 1.883999999999999975e+24 0.000000000000000000e+00 0.000000000000000000e+00 2.777611057865278529e-29 7.044506443647603040e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.044506443647603215e-43
1.270777098686898476e+01 9.817709259156823798e-01 1.870096913614391814e+24 1.883999999999999975e+24 0.000000000000000000e+00 0.000000000000000000e+00 4.219705108907566889e-29 7.037892660510270955e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.037892660510271671e-43
1.278609200649910171e+01 9.826601705082507188e-01 1.866691651891343389e+24 1.884330834810865547e+24 0.000000000000000000e+00 0.000000000000000000e+00 2.079358121265227348e-27 7.032110276613875596e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.032110276613875564e-43
1.286489573722955626e+01 9.835509952904211151e-01 1.863265402729149541e+24 1.884673459727085093e+24 0.000000000000000000e+00 0.000000000000000000e+00 4.188690729228991560e-27 7.026327087738564378e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.026327087738565141e-43
1.294418515412384352e+01 9.844523144265481251e-01 1.859808180435990400e+24 1.885017438142182587e+24 0.000000000000000000e+00 0.000000000000000000e+00 6.564346516869398735e-27 7.020485393348123249e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.020485393348123478e-43
1.302396325058148818e+01 9.854495406322686391e-01 1.856151684348348316e+24 1.885349846877422972e+24 0.000000000000000000e+00 0.000000000000000000e+00 1.352864192888653144e-26 7.014033349909587388e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.014033349909587410e-43
1.310423303845103149e+01 9.864529129806379748e-01 1.852472652404327560e+24 1.885684304326879307e+24 0.000000000000000000e+00 0.000000000000000000e+00 2.053585995244819735e-26 7.007553438048953482e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.007553438048953955e-43
