# E/N (Td)	Diffusion coefficient *N (1/m/s)
1059.	0.7802E+25
1063.	0.7815E+25
1067.	0.7829E+25
1071.	0.7842E+25
1075.	0.7855E+25
1079.	0.7869E+25
1083.	0.7882E+25
1087.	0.7895E+25
1091.	0.7909E+25
1095.	0.7922E+25
1099.	0.7935E+25
1103.	0.7948E+25
1107.	0.7961E+25
1111.	0.7975E+25
1115.	0.7988E+25
1119.	0.8001E+25
1123.	0.8014E+25
1127.	0.8027E+25
1131.	0.8040E+25
1135.	0.8054E+25
1139.	0.8067E+25
1143.	0.8080E+25
1147.	0.8093E+25
1151.	0.8106E+25
1155.	0.8119E+25
1159.	0.8132E+25
1163.	0.8145E+25
1167.	0.8158E+25
1171.	0.8171E+25
1175.	0.8184E+25
1179.	0.8202E+25
1183.	0.8215E+25
1187.	0.8228E+25
1191.	0.8241E+25
1195.	0.8254E+25
1199.	0.8267E+25
1203.	0.8279E+25
1207.	0.8292E+25
1211.	0.8305E+25
1215.	0.8318E+25
1219.	0.8331E+25
1223.	0.8344E+25
1227.	0.8357E+25
1231.	0.8370E+25
1235.	0.8382E+25
1239.	0.8395E+25
1243.	0.8408E+25
1247.	0.8421E+25
1251.	0.8434E+25
1255.	0.8447E+25
1259.	0.8459E+25
1263.	0.8472E+25
1267.	0.8485E+25
1271.	0.8498E+25
1275.	0.8510E+25
1279.	0.8523E+25
1283.	0.8536E+25
1287.	0.8549E+25
1291.	0.8561E+25
1295.	0.8574E+25
1299.	0.8587E+25
1303.	0.8600E+25
1307.	0.8612E+25
1311.	0.8625E+25
1315.	0.8640E+25
1319.	0.8652E+25
1323.	0.8665E+25
1327.	0.8678E+25
1331.	0.8690E+25
1335.	0.8703E+25
1339.	0.8716E+25
1343.	0.8728E+25
1347.	0.8741E+25
1351.	0.8753E+25
1355.	0.8766E+25
1359.	0.8779E+25
1363.	0.8791E+25
1367.	0.8804E+25
1371.	0.8816E+25
1375.	0.8829E+25
1379.	0.8841E+25
1383.	0.8854E+25
1387.	0.8867E+25
1391.	0.8879E+25
1395.	0.8892E+25
1399.	0.8904E+25
1403.	0.8917E+25
1407.	0.8929E+25
1411.	0.8942E+25
1415.	0.8954E+25
1419.	0.8967E+25
1423.	0.8979E+25
1427.	0.8992E+25
1431.	0.9004E+25
1435.	0.9017E+25
1439.	0.9029E+25
1443.	0.9042E+25
1447.	0.9054E+25
1451.	0.9067E+25
1455.	0.9079E+25
1459.	0.9087E+25
1463.	0.9100E+25
1467.	0.9112E+25
1471.	0.9125E+25
1475.	0.9137E+25
1479.	0.9149E+25
1483.	0.9162E+25
1487.	0.9174E+25
1491.	0.9187E+25
1495.	0.9199E+25
1499.	0.9212E+25
1503.	0.9224E+25
1507.	0.9236E+25
1511.	0.9249E+25
1515.	0.9261E+25
1519.	0.9274E+25
1523.	0.9286E+25
1527.	0.9298E+25
1531.	0.9311E+25
1535.	0.9323E+25
1539.	0.9335E+25
1543.	0.9348E+25
1547.	0.9360E+25
1551.	0.9373E+25
1555.	0.9385E+25
1559.	0.9397E+25
1563.	0.9410E+25
1567.	0.9422E+25
1571.	0.9434E+25
1575.	0.9447E+25
1579.	0.9459E+25
1583.	0.9471E+25
1587.	0.9484E+25
1591.	0.9496E+25
1595.	0.9508E+25
1599.	0.9521E+25
1603.	0.9533E+25
1607.	0.9545E+25
1611.	0.9557E+25
1615.	0.9574E+25
1619.	0.9586E+25
1623.	0.9599E+25
1627.	0.9611E+25
1631.	0.9623E+25
1635.	0.9635E+25
1639.	0.9648E+25
1643.	0.9660E+25
1647.	0.9672E+25
1651.	0.9684E+25
1655.	0.9697E+25
1659.	0.9709E+25
1663.	0.9721E+25
1668.	0.9733E+25
1672.	0.9746E+25
1676.	0.9758E+25
1680.	0.9770E+25
1684.	0.9782E+25
1688.	0.9795E+25
1692.	0.9807E+25
1696.	0.9819E+25
1700.	0.9831E+25
1704.	0.9843E+25
1708.	0.9856E+25
1712.	0.9868E+25
1716.	0.9880E+25
1720.	0.9892E+25
1724.	0.9904E+25
1728.	0.9917E+25
1732.	0.9929E+25
1736.	0.9941E+25
1740.	0.9953E+25
1744.	0.9965E+25
1748.	0.9978E+25
1752.	0.9990E+25
1756.	0.1000E+26
1760.	0.1001E+26
1764.	0.1003E+26
1768.	0.1004E+26
1772.	0.1005E+26
1776.	0.1006E+26
1780.	0.1008E+26
1784.	0.1009E+26
1788.	0.1011E+26
1792.	0.1012E+26
1796.	0.1013E+26
1800.	0.1014E+26
1804.	0.1016E+26
1808.	0.1017E+26
1812.	0.1018E+26
1816.	0.1019E+26
1820.	0.1020E+26
1824.	0.1022E+26
1828.	0.1023E+26
1832.	0.1024E+26
1836.	0.1025E+26
1840.	0.1026E+26
1844.	0.1028E+26
1848.	0.1029E+26
1852.	0.1030E+26
1856.	0.1031E+26
1860.	0.1033E+26
1864.	0.1034E+26
1868.	0.1035E+26
1872.	0.1036E+26
1876.	0.1037E+26
1880.	0.1039E+26
1884.	0.1040E+26
1888.	0.1041E+26
1892.	0.1042E+26
1896.	0.1043E+26
1900.	0.1045E+26
1904.	0.1046E+26
1908.	0.1047E+26
1912.	0.1048E+26
1916.	0.1049E+26
1920.	0.1051E+26
1924.	0.1052E+26
1928.	0.1053E+26
1932.	0.1054E+26
1936.	0.1056E+26
1940.	0.1057E+26
1944.	0.1058E+26
1948.	0.1059E+26
1952.	0.1060E+26
1956.	0.1062E+26
1960.	0.1063E+26
1964.	0.1064E+26
1968.	0.1065E+26
1972.	0.1067E+26
1976.	0.1068E+26
1980.	0.1069E+26
1984.	0.1070E+26
1988.	0.1071E+26
1992.	0.1073E+26
1996.	0.1074E+26
2000.	0.1075E+26
